Serial Number,player_name,Type ,Price (₹ Cr.) ,Overseas Player,star_player
1,Rohit Sharma,Batter,16.0,No,Yes
2,Ishan Kishan,Wicket-Keeper,15.25,No,Yes
3,Hardik Pandya,All-Rounder,15.0,No,Yes
4,Jasprit Bumrah,Bowler,12.0,No,Yes
5,Tim David,Batter,8.25,Yes,Yes
6,Suryakumar Yadav,Batter,8.0,No,Yes
7,Gerald Coetzee,All-Rounder,5.0,Yes,No
8,Nuwan Thushara,Bowler,4.8,Yes,No
9,Dilshan Madushanka,Bowler,4.6,Yes,No
10,Dewald Brevis,All-Rounder,3.0,Yes,No
11,Tilak Varma,Batter,1.7,No,No
12,Mohammad Nabi,All-Rounder,1.5,Yes,Yes
13,Jason Behrendorff,Bowler,0.75,Yes,No
14,Piyush Chawla,Bowler,0.5,No,Yes
15,Romario Shepherd,All-Rounder,0.5,Yes,Yes
16,Arjun Tendulkar,Bowler,0.3,No,No
17,Shams Mulani,All-Rounder,0.2,No,No
18,Akash Madhwal,Bowler,0.2,No,No
19,Kumar Kartikeya,Bowler,0.2,No,No
20,Vishnu Vinod,Wicket-Keeper,0.2,No,No
21,Shivalik Sharma,All-Rounder,0.2,No,No
22,Naman Dhir,All-Rounder,0.2,No,No
23,Nehal Wadhera,All-Rounder,0.2,No,No
24,Anshul Kamboj,All-Rounder,0.2,No,No
25,Shreyas Gopal,Bowler,0.2,No,No
26,Rishabh Pant,Wicket-Keeper,16.0,No,Yes
27,Axar Patel,All-Rounder,12.0,No,Yes
28,Prithvi Shaw,Batter,8.0,No,No
29,Kumar Kushagra,Wicket-Keeper,7.2,No,No
30,Mitchell Marsh,All-Rounder,6.5,Yes,Yes
31,Anrich Nortje,Bowler,6.5,Yes,Yes
32,David Warner,Batter,6.25,Yes,Yes
33,Mukesh Kumar,Bowler,5.5,No,No
34,Khaleel Ahmed,Bowler,5.25,No,Yes
35,Jhye Richardson,Bowler,5.0,Yes,No
36,Harry Brook,Batter,4.0,Yes,No
37,Kuldeep Yadav,Bowler,2.0,No,Yes
38,Sumit Kumar,All-Rounder,1.0,No,No
39,Shai Hope,Wicket-Keeper,0.75,Yes,No
40,Lalit Yadav,All-Rounder,0.65,No,No
41,Ishant Sharma,Bowler,0.5,No,Yes
42,Lungi Ngidi,Bowler,0.5,Yes,Yes
43,Pravin Dubey,Bowler,0.5,No,No
44,Yash Dhull,Batter,0.5,No,No
45,Tristan Stubbs,Wicket-Keeper,0.5,Yes,No
46,Rasikh Dar,Bowler,0.2,No,No
47,Abishek Porel,Wicket-Keeper,0.2,No,No
48,Vicky Ostwal,Bowler,0.2,No,No
49,Ricky Bhui,Wicket-Keeper,0.2,No,No
50,Swastik Chikara,Batter,0.2,No,No
51,Cameron Green,All-Rounder,17.5,Yes,No
52,Virat Kohli,Batter,15.0,No,Yes
53,Alzarri Joseph,Bowler,11.5,Yes,Yes
54,Glenn Maxwell,All-Rounder,11.0,Yes,Yes
55,Mohammed Siraj,Bowler,7.0,No,Yes
56,Faf du Plessis,Batter,7.0,Yes,Yes
57,Dinesh Karthik,Wicket-Keeper,5.5,No,Yes
58,Yash Dayal,Bowler,5.0,No,No
59,Anuj Rawat,Wicket-Keeper,3.4,No,No
60,Will Jacks,Batter,3.2,Yes,No
61,Lockie Ferguson,Bowler,2.0,Yes,Yes
62,Reece Topley,Bowler,1.9,Yes,Yes
63,Mayank Dagar,All-Rounder,1.8,No,No
64,Tom Curran,All-Rounder,1.5,Yes,No
65,Mahipal Lomror,All-Rounder,0.95,No,No
66,Rajan Kumar,Bowler,0.7,No,No
67,Karn Sharma,Bowler,0.5,No,Yes
68,Suyash Prabhudessai,Batter,0.3,No,No
69,Vyshak Vijay Kumar,Bowler,0.2,No,No
70,Akash Deep,Bowler,0.2,No,No
71,Manoj Bhandage,All-Rounder,0.2,No,No
72,Rajat Patidar,Batter,0.2,No,No
73,Himanshu Sharma,Bowler,0.2,No,No
74,Swapnil Singh,All-Rounder,0.2,No,No
75,Ravindra Jadeja,All-Rounder,16.0,No,Yes
76,Daryl Mitchell,All-Rounder,14.0,Yes,No
77,Deepak Chahar,Bowler,14.0,No,Yes
78,MS Dhoni,Wicket-Keeper,12.0,No,Yes
79,Sameer Rizvi,Batter,8.4,No,No
80,Ruturaj Gaikwad,Batter,8.0,No,Yes
81,Moeen Ali,All-Rounder,6.0,Yes,Yes
82,Shivam Dube,All-Rounder,4.0,No,No
83,Shardul Thakur,All-Rounder,4.0,No,No
